Tipo,Kurtosis,Impulse factor,RMS,Margin factor,Skewness,Shape factor,Peak to peak,Crest factor
Sano,1.6551692268715357,7.443339870142839,19.81828173094265,0.0005310903037989,-0.0876028044409551,707.1857148121201,0.4000733189802404,0.0105252972652598
Sano,2.3201891086085817,10.519154189812037,22.03674242778089,0.000471899081138,-0.5685443975900804,1011.5428713338928,0.4220235231132756,0.0103991185029466
Sano,2.226050993840386,12.807207582563658,21.96118606496585,0.0005777505151041,-0.4866410153659101,1009.3884149240956,0.514857439453391,0.012688086561333
Sano,2.227767893393908,9.065465512667757,22.82247344103154,0.0003929120214852,-0.3726234377754917,1010.9556018386764,0.3899660467104189,0.0089672241750082
Inner,6.703207688818544,13.906120126387377,63.784256377229376,0.0003844401114896,0.166938292883517,567.1054035977214,2.81669562124232,0.0245212266329448
Inner,7.306819993177141,13.609196340144049,64.39756498657488,0.0003667661059053,0.0861167831832324,576.2007767834232,2.8653726926696166,0.0236188441399122
Inner,7.216980133376001,13.1424687768863,65.93479512885123,0.0003477568587416,0.0140859612941226,573.1741407171221,2.866957751115062,0.0229292772357859
Inner,6.526204112194739,12.462117263010962,69.20314280468283,0.0003143565322991,0.0259998350891682,572.8534408640423,2.905181761883352,0.0217544599962848
Inner,37.749529198856976,32.80120800340058,42.53559243820896,0.0010842691003337,-0.1440576948356837,711.2139571053439,3.7551384268957486,0.0461200285451402
Inner,35.973904193717566,35.20189113725327,36.35020343076767,0.0014200967577003,-0.0460169643799617,681.9322254328569,3.6783215713065016,0.0516208060337797
Inner,37.704345080376605,32.25520600329497,35.62756679715761,0.0013348916217973,0.0016872607059013,678.2154042271496,3.2409438820105043,0.0475589404225504
Inner,30.96173850677973,31.830112347100304,39.71386147380891,0.0012524973782986,0.0004339600847799,639.9104897480504,3.809211389017106,0.0497415073780594
Inner,10.83697770425225,16.817765175884965,116.50332960070132,0.0002417406406092,0.3410919932526865,597.145657072693,6.101361658800164,0.0281635895307828
Inner,10.76832304440744,19.73822271906916,96.34739964884218,0.0003416077616893,0.2899482626936558,599.7086562022097,5.885966681615025,0.0329130195386304
Inner,11.72005237082974,18.22035881007305,108.01748773284956,0.0002751931056986,0.2553613642651695,612.9503585836948,6.063850343654689,0.0297256679189709
Inner,11.712278554238376,20.799654534241878,98.97504178435518,0.0003479515685369,0.3257341571541563,603.9648018908584,6.443437280232463,0.034438521034874
Outer,10.61002005314714,15.573623610302407,147.66544241501373,0.0001565576685803,0.0435809095893271,673.6533255928036,6.561245299412933,0.0231181573943806
Outer,10.646669820189192,15.456355631069698,130.62147298636555,0.0001792470915405,0.0165210538461452,660.1466250413356,6.006538606644678,0.0234135191255456
